StrainIndex  Lineage  Cluster  Name
580          1        2        SRR11004462
581          1        2        SRR11004463
582          2        3        SRR11004464
583          2        4        SRR11004465
584          2        3        SRR11004466
585          2        4        SRR11004467
586          1        2        SRR11004468
587          1        2        SRR11004469
588          2        3        SRR11004470
589          2        4        SRR11004471
590          2        4        SRR11004472
591          2        4        SRR11004473
592          2        4        SRR11004474
593          2        4        SRR11004475
594          2        3        SRR11004476
595          2        4        SRR11004477
596          2        4        SRR11004478
597          2        3        SRR11004479
598          2        4        SRR11004480
599          2        3        SRR11004481
600          2        4        SRR11004482
601          2        3        SRR11004483
602          2        4        SRR11004484
603          2        3        SRR11004485
604          2        3        SRR11004486
605          2        4        SRR11004487
606          2        4        SRR11004488
607          2        4        SRR11004489
608          1        2        SRR11004490
609          1        2        SRR11004491
610          2        3        SRR11004492
611          2        3        SRR11004493
612          1        2        SRR11004494
613          2        4        SRR11004495
614          2        4        SRR11004498
615          2        4        SRR11004499
616          2        4        SRR11004500
617          2        3        SRR11004501
618          2        3        SRR11004502
619          2        4        SRR11004503
620          2        3        SRR11004504
621          2        3        SRR11004505
622          2        3        SRR11004506
623          2        3        SRR11004507
624          2        3        SRR11004508
625          2        3        SRR11004509
626          2        4        SRR11004510
627          2        4        SRR11004511
628          2        4        SRR11004512
629          2        3        SRR11004513
630          2        3        SRR11004514
631          2        4        SRR11004515
632          2        3        SRR11004516
633          2        4        SRR11004517
634          2        4        SRR11004518
635          2        3        SRR11004519
636          2        4        SRR11004520
637          2        4        SRR11004521
638          2        3        SRR11004522
639          2        3        SRR11004523
640          2        4        SRR11004524
641          2        3        SRR11004525
642          2        3        SRR11004526
643          2        4        SRR11004527
644          2        4        SRR11004528
645          2        3        SRR11004529
646          2        4        SRR11004530
647          1        2        SRR11004531
648          2        3        SRR11004532
649          2        4        SRR11004533
650          2        3        SRR11004534
651          2        3        SRR11004535
652          2        3        SRR11004536
653          2        4        SRR11004537
654          2        3        SRR11004538
655          2        3        SRR11004539
656          1        2        SRR11004540
657          2        3        SRR11004541
658          2        4        SRR11004542
659          2        3        SRR11004543
660          2        4        SRR11004544
661          2        4        SRR11004545
662          2        3        SRR11004546
663          2        3        SRR11004547
664          2        4        SRR11004548
665          2        4        SRR11004549
666          2        3        SRR11004550
667          2        4        SRR11004551
668          2        3        SRR11004552
669          2        4        SRR11004553
670          2        3        SRR11004554
671          2        3        SRR11004555
672          2        3        SRR11004556
673          1        2        SRR12056053
674          2        4        SRR12056163
675          2        3        SRR12056166
676          2        3        SRR12056174
677          2        4        SRR12056308
678          2        4        SRR12056311
679          2        4        SRR12693181
680          2        4        SRR12693190
681          2        4        SRR12693196
682          2        4        SRR12693206
683          2        4        SRR12693217
684          2        4        SRR12693218
685          2        4        SRR12693219
686          2        4        SRR12693220
687          2        4        SRR12693222
688          2        4        SRR12693260
689          2        4        SRR12693265
690          2        4        SRR12693267
691          2        4        SRR12693268
692          2        4        SRR12693269
693          2        4        SRR12693270
694          2        4        SRR12693271
695          2        4        SRR12693272
696          2        4        SRR12693273
697          2        4        SRR12693289
698          2        4        SRR12693290
699          2        4        SRR12762903
700          2        3        SRR13530715
701          2        3        SRR13530737
702          2        3        SRR13530759
703          2        3        SRR13530763
704          2        3        SRR13530783
705          2        3        SRR13530784
706          2        3        SRR13530785
707          2        3        SRR13530792
708          1        2        SRR13674887
709          1        2        SRR13674888
710          1        1        SRR13674889
711          1        2        SRR13674890
712          1        2        SRR13674891
713          2        3        SRR14491919
714          2        3        SRR14571941
715          2        4        SRR16631590
716          2        4        SRR16631687
717          2        4        SRR19995384
718          2        4        SRR19995404
719          2        4        SRR19995405
720          2        4        SRR19995406
721          2        4        SRR19995407
722          2        3        SRR19995408
723          2        3        SRR19995409
724          2        3        SRR19995411
725          2        4        SRR19995412
726          2        4        SRR19995413
727          2        3        SRR19995414
728          2        4        SRR19995415
729          2        4        SRR19995416
730          2        4        SRR19995417
731          2        4        SRR19995418
732          2        4        SRR19995420
733          2        3        SRR19995422
734          2        3        SRR20027742
735          2        3        SRR20313630
736          2        4        SRR20693367
737          1        2        SRR21745898
738          2        4        SRR21745902
739          2        4        SRR2820294
740          2        4        SRR2822469
741          2        3        SRR3057117
742          2        4        SRR3151882
743          2        4        SRR3151883
744          2        4        SRR4938467
745          2        3        SRR4938469
746          2        3        SRR4938470
747          2        3        SRR4938471
748          2        4        SRR4938472
749          2        4        SRR4938473
750          2        3        SRR4938474
751          2        3        SRR4938475
752          2        3        SRR4938476
753          2        3        SRR4938477
754          2        3        SRR4938478
755          2        4        SRR5029746
756          2        3        SRR5029764
757          2        3        SRR5419951
758          2        3        SRR5440743
759          2        3        SRR6265703
760          2        3        SRR6265704
761          2        4        SRR6265705
762          2        4        SRR6265707
763          2        4        SRR6265708
764          2        4        SRR6265709
765          2        3        SRR7771798
766          2        4        SRR9647826
767          2        4        SRR9647862
768          2        3        SRR9647876
769          1        2        SS116
770          2        4        SS410
771          1        2        SS413
772          2        3        SS45
773          1        2        SS536
774          1        2        SS543
775          2        3        SS546
776          1        2        SU8
777          2        4        SW396
778          2        4        s43
779          2        3        ww2
780          2        4        ww3
